"Spieltag","Spiel","Paarung","Heim","Ausw","Erg","Tipp","Tipper","Pkt","Pkt_","HeimTore","AuswTore","TorDiff","TorDiff_abs","HeimTipp","AuswTipp","TippDiff","TippDiff_abs"
"1","1","FC Bayern München - Hamburger SV","FC Bayern München","Hamburger SV","5:0","3:0","GesuSan",2,2,5,0,5,5,3,0,3,3
"1","1","FC Bayern München - Hamburger SV","FC Bayern München","Hamburger SV","5:0","3:0","Marc",2,2,5,0,5,5,3,0,3,3
"1","1","FC Bayern München - Hamburger SV","FC Bayern München","Hamburger SV","5:0","6:0","AJ",2,2,5,0,5,5,6,0,6,6
"1","1","FC Bayern München - Hamburger SV","FC Bayern München","Hamburger SV","5:0","3:0","BastiS.",2,2,5,0,5,5,3,0,3,3
"1","1","FC Bayern München - Hamburger SV","FC Bayern München","Hamburger SV","5:0","3:0","Kryztianov",2,2,5,0,5,5,3,0,3,3
"1","1","FC Bayern München - Hamburger SV","FC Bayern München","Hamburger SV","5:0","10:0","phil4delphia",2,2,5,0,5,5,10,0,10,10
"1","1","FC Bayern München - Hamburger SV","FC Bayern München","Hamburger SV","5:0","4:0","Chris",2,2,5,0,5,5,4,0,4,4
"1","1","FC Bayern München - Hamburger SV","FC Bayern München","Hamburger SV","5:0","4:0","Schmonkey",2,2,5,0,5,5,4,0,4,4
"2","1","Hertha BSC - Werder Bremen","Hertha BSC","Werder Bremen","1:1","1:1","Marc",4,4,1,1,0,0,1,1,0,0
"2","1","Hertha BSC - Werder Bremen","Hertha BSC","Werder Bremen","1:1","1:1","GesuSan",4,4,1,1,0,0,1,1,0,0
"2","1","Hertha BSC - Werder Bremen","Hertha BSC","Werder Bremen","1:1","1:1","Kryztianov",4,4,1,1,0,0,1,1,0,0
"2","1","Hertha BSC - Werder Bremen","Hertha BSC","Werder Bremen","1:1","0:1","AJ",0,0,1,1,0,0,0,1,-1,1
"2","1","Hertha BSC - Werder Bremen","Hertha BSC","Werder Bremen","1:1","1:2","BastiS.",0,0,1,1,0,0,1,2,-1,1
"2","1","Hertha BSC - Werder Bremen","Hertha BSC","Werder Bremen","1:1","1:1","Chris",4,4,1,1,0,0,1,1,0,0
"2","1","Hertha BSC - Werder Bremen","Hertha BSC","Werder Bremen","1:1","1:0","phil4delphia",0,0,1,1,0,0,1,0,1,1
"2","1","Hertha BSC - Werder Bremen","Hertha BSC","Werder Bremen","1:1","2:1","Schmonkey",0,0,1,1,0,0,2,1,1,1
"3","1","VfL Wolfsburg - FC Schalke 04","VfL Wolfsburg","FC Schalke 04","3:0","2:0","Marc",2,2,3,0,3,3,2,0,2,2
"3","1","VfL Wolfsburg - FC Schalke 04","VfL Wolfsburg","FC Schalke 04","3:0","2:1","Kryztianov",2,2,3,0,3,3,2,1,1,1
"3","1","VfL Wolfsburg - FC Schalke 04","VfL Wolfsburg","FC Schalke 04","3:0","2:1","GesuSan",2,2,3,0,3,3,2,1,1,1
"3","1","VfL Wolfsburg - FC Schalke 04","VfL Wolfsburg","FC Schalke 04","3:0","1:1","AJ",0,0,3,0,3,3,1,1,0,0
"3","1","VfL Wolfsburg - FC Schalke 04","VfL Wolfsburg","FC Schalke 04","3:0","1:0","Chris",2,2,3,0,3,3,1,0,1,1
"3","1","VfL Wolfsburg - FC Schalke 04","VfL Wolfsburg","FC Schalke 04","3:0","2:2","phil4delphia",0,0,3,0,3,3,2,2,0,0
